date,Arb Nbuy,Nonarb Nbuy,Inst Nbuy,Foreign Nbuy,VKOSPI,VIX
2007-02-08,167.38,-25.75,101.98031,-207.90574,17.25,10.44
2007-02-09,181.46,-23.47,191.80722,-106.1053,16.05,11.1
2007-02-12,-63.52,100.43,-30.97506,-121.33214,17.11,11.61
2007-02-13,41.78,67.5,152.97401,-186.17851,16.8,10.34
2007-02-14,143.55,-91.56,224.60108,-13.56157,16.57,10.23
2007-02-15,-18.73,-110,-159.30407,251.74697,16.41,10.22
2007-02-16,-26.08,-127.2,-166.92182,189.31482,16.08,10.02
2007-02-20,-13.81,-88.76,-149.38563,145.08115,16.68,10.24
2007-02-21,-11.81,-103.69,-61.64041,74.39206,16.86,10.2
2007-02-22,231.94,-136.26,196.12917,27.82022,17.33,10.18
2007-02-23,195.24,-6.56,-364.21727,454.46975,17.12,10.58
2007-02-26,48.21,-6.05,-178.90347,165.88586,17.82,11.15
2007-02-27,-39.16,-89.39,-31.06068,25.53128,17.9,18.31
2007-02-28,-498.34,-14.86,-166.42207,-307.48465,20.38,15.42
2007-03-02,-252.88,75.33,-44.22078,-154.44553,20.06,18.61
2007-03-05,-239.62,-29.4,69.44284,-278.70793,21.62,19.63
2007-03-06,0.57,-59.2,174.49439,-260.83664,20.33,15.96
2007-03-07,-256.68,-74.82,-71.23114,61.81464,19.43,15.24
2007-03-08,97.63,-231.05,282.43787,-276.28755,17.91,14.29
2007-03-09,-262.7,-92.21,-79.33662,42.64751,18.7,14.09
2007-03-12,-185.22,-44.75,10.8453,67.98685,19.01,13.99
2007-03-13,-257.12,69.81,-108.9726,56.69799,19.67,18.13
2007-03-14,-243.19,-15.93,67.27304,-227.5308,21.07,17.27
2007-03-15,151.64,-126.17,192.31715,-165.55111,20.14,16.43
2007-03-16,-13.22,-53.56,53.80976,-34.52378,20.29,16.79
2007-03-19,163.95,43.76,261.24277,-188.14696,21.04,14.59
2007-03-20,39.04,4.35,25.82965,13.86676,20.43,13.27
2007-03-21,-75.05,-27.09,-22.3444,37.10675,20.49,12.19
2007-03-22,97,-67.17,85.24698,67.70914,19.67,12.93
2007-03-23,23.64,26.36,6.76264,73.30263,19.28,12.95
2007-03-26,140.6,32.44,59.84676,38.48599,19.87,13.16
2007-03-27,214.35,78.16,125.27174,-37.92219,19.85,13.48
2007-03-28,-157.59,-17.21,-220.13899,53.24486,20.48,14.98
2007-03-29,113.4,56.74,48.2032,-62.41765,19.91,15.14
2007-03-30,-16.73,-13.85,-201.71284,93.90482,19.64,14.64
2007-04-02,127.44,-85.82,45.05617,-105.19029,19.71,14.53
