"Index","SPVXSP.Index.DailyEndEq"
2008-08-21,0.0102392900000002
2008-08-22,0.02416553
2008-08-25,-0.04078977
2008-08-26,0
2008-08-27,0
2008-08-28,0.0241234
2008-08-29,-0.0210974000000001
2008-09-02,-0.0133155999999999
2008-09-03,0.0119713999999999
2008-09-04,-0.0718109999999999
2008-09-05,0.0211112
2008-09-08,0.033578
2008-09-09,-0.0694886
2008-09-10,0.0198882
2008-09-11,-0.008306
2008-09-12,-0.00867920000000019
2008-09-15,-0.0635577999999998
2008-09-16,0
2008-09-17,0
2008-09-18,0
2008-09-19,0
2008-09-22,0
2008-09-23,0
2008-09-24,0
2008-09-25,0
2008-09-26,0
2008-09-29,0.13874384
2008-09-30,-0.0671598400000001
2008-10-01,0
2008-10-02,0.0640338999999999
2008-10-03,0
2008-10-06,0
2008-10-07,0
2008-10-08,0
2008-10-09,0
2008-10-10,0
2008-10-13,0
2008-10-14,0
2008-10-15,0
2008-10-16,0
2008-10-17,0.074602
2008-10-20,-0.05569552
2008-10-21,-0.02445088
2008-10-22,0.09460592
2008-10-23,0.03428448
2008-10-24,0.11838464
2008-10-27,0.0677538400000001
2008-10-28,0
2008-10-29,0
2008-10-30,-0.0119702999999999
2008-10-31,0
2008-11-03,-0.0282175200000001
2008-11-04,-0.07431762
2008-11-05,0.0497553600000001
2008-11-06,0.0955519199999999
2008-11-07,-0.0239491799999999
2008-11-10,0.0178077
2008-11-11,0.0264324000000001
2008-11-12,0
2008-11-13,0
2008-11-14,0
2008-11-17,0
2008-11-18,0
2008-11-19,0
2008-11-20,0
2008-11-21,0
2008-11-24,0
2008-11-25,0
2008-11-26,0
2008-11-28,-0.00093845000000007
2008-12-01,0.1074072
2008-12-02,-0.03032335
2008-12-03,-0.00239665000000002
2008-12-04,0.04183915
2008-12-05,-0.02308175
2008-12-08,-0.0398097000000001
2008-12-09,0
2008-12-10,0
2008-12-11,0
2008-12-12,0
2008-12-15,0
2008-12-16,-0.04294305
2008-12-17,-0.00294484999999998
2008-12-18,-0.0282898
2008-12-19,-0.0477432
2008-12-22,-0.028116
2008-12-23,0.0113167
2008-12-24,0
2008-12-26,0
2008-12-29,0
2008-12-30,0
2008-12-31,0
2009-01-02,0.07194152
2009-01-05,-0.0172738300000001
2009-01-06,0.0120816500000001
2009-01-07,-0.0772086000000001
2009-01-08,0.00137396000000008
2009-01-09,0
2009-01-12,0
2009-01-13,0
2009-01-14,0
2009-01-15,0.00675756000000006
2009-01-16,0
2009-01-20,0
2009-01-21,0
2009-01-22,0
2009-01-23,0
2009-01-26,0
2009-01-27,-0.0467721
2009-01-28,-0.0567681599999999
2009-01-29,0.0155599199999998
2009-01-30,0.0301960200000001
2009-02-02,0.0052451399999999
2009-02-03,-0.03653982
2009-02-04,0.00740321999999997
2009-02-05,0
2009-02-06,0
2009-02-09,0
2009-02-10,0
2009-02-11,0
2009-02-12,0
2009-02-13,0
2009-02-17,0.03836982
2009-02-18,0.0167419800000001
2009-02-19,0
2009-02-20,0
2009-02-23,0
2009-02-24,0
2009-02-25,0
2009-02-26,0
2009-02-27,0
2009-03-02,0.0613057200000002
2009-03-03,0.00984893999999994
2009-03-04,-0.07588758
2009-03-05,0.043023
2009-03-06,-0.00981624000000011
2009-03-09,0.0134278200000001
2009-03-10,0
2009-03-11,0
2009-03-12,-0.01527642
2009-03-13,0.01237176
2009-03-16,0
2009-03-17,-0.0399855600000001
2009-03-18,0
2009-03-19,0
2009-03-20,0.0713363400000001
2009-03-23,-0.0767335200000001
2009-03-24,0
2009-03-25,0
2009-03-26,0
2009-03-27,0
2009-03-30,0
2009-03-31,0
2009-04-01,0
2009-04-02,0
2009-04-03,-0.0198226800000002
2009-04-06,0.0069919800000001
2009-04-07,0
2009-04-08,0
2009-04-09,0
2009-04-13,0
2009-04-14,0
2009-04-15,0
2009-04-16,0
2009-04-17,0
2009-04-20,0
2009-04-21,0
2009-04-22,0
2009-04-23,0
2009-04-24,0
2009-04-27,0
2009-04-28,0
2009-04-29,0
2009-04-30,0
2009-05-01,0.01340787
2009-05-04,0.04265191
2009-05-05,0
2009-05-06,-0.0309680700000001
2009-05-07,0
2009-05-08,0
2009-05-11,0
2009-05-12,0
2009-05-13,0
2009-05-14,0
2009-05-15,-0.0231365599999999
2009-05-18,0.0699823999999999
2009-05-19,0.0140013600000001
2009-05-20,-0.00287376000000001
2009-05-21,-0.04840016
2009-05-22,0
2009-05-26,0.0433497599999999
2009-05-27,-0.02687608
2009-05-28,0.01533776
2009-05-29,0.03153336
2009-06-01,0.0213556
2009-06-02,-0.00299127999999991
2009-06-03,-0.04528152
2009-06-04,0.0106412799999999
2009-06-05,0.00378592000000004
2009-06-08,0
2009-06-09,0
2009-06-10,0
2009-06-11,0
2009-06-12,0
2009-06-15,-0.0450376200000001
2009-06-16,0
2009-06-17,-0.00689528000000003
2009-06-18,0.00690016000000003
2009-06-19,0
2009-06-22,0
2009-06-23,0.0179529600000001
2009-06-24,0
2009-06-25,0.0434516400000001
2009-06-26,0
2009-06-29,0
2009-06-30,0
2009-07-01,0
2009-07-02,0
2009-07-06,0
2009-07-07,0
2009-07-08,-0.01324611
2009-07-09,0.0129742200000001
2009-07-10,-0.00456687000000011
2009-07-13,0.0446523300000001
2009-07-14,0.0166217400000001
2009-07-15,0.0272627099999998
2009-07-16,0
2009-07-17,0
2009-07-20,0
2009-07-21,0
2009-07-22,0
2009-07-23,0
2009-07-24,0
2009-07-27,0
2009-07-28,-0.03312749
2009-07-29,-0.0109629300000001
2009-07-30,0.02253163
2009-07-31,-0.00939366999999993
2009-08-03,0.0249412899999999
2009-08-04,0.00672254000000004
2009-08-05,0.00428933999999997
2009-08-06,-0.0103276800000001
2009-08-07,0.0312780600000001
2009-08-10,-0.000507650000000023
2009-08-11,0
2009-08-12,0
2009-08-13,0
2009-08-14,0
2009-08-17,0
2009-08-18,0
2009-08-19,0.0294639400000001
2009-08-20,0.0177609299999999
2009-08-21,0.01341263
2009-08-24,-0.000849969999999972
2009-08-25,0
2009-08-26,0
2009-08-27,0
2009-08-28,0
2009-08-31,0
2009-09-01,0
2009-09-02,0
2009-09-03,0.04571226
2009-09-04,0.03119963
2009-09-08,0.0299821499999999
2009-09-09,0.0253726000000001
2009-09-10,0.0399264799999999
2009-09-11,0
2009-09-14,0
2009-09-15,0
2009-09-16,0
2009-09-17,0
2009-09-18,0
2009-09-21,0
2009-09-22,0.01959139
2009-09-23,-0.00767403000000003
2009-09-24,-0.0174634199999999
2009-09-25,-0.00298480000000005
2009-09-28,0.03372785
2009-09-29,0.000138060000000056
2009-09-30,-0.00963702999999991
2009-10-01,-0.0409258199999999
2009-10-02,-0.00171444000000018
2009-10-05,0.0323926199999999
2009-10-06,0.0216044400000002
2009-10-07,0.01023308
2009-10-08,0.0108154799999999
2009-10-09,0
2009-10-12,0
2009-10-13,0
2009-10-14,0
2009-10-15,0
2009-10-16,0
2009-10-19,0
2009-10-20,0
2009-10-21,0
2009-10-22,0
2009-10-23,-0.0158772799999999
2009-10-26,-0.02004
2009-10-27,-0.00239808000000007
2009-10-28,-0.0702723200000001
2009-10-29,0.0577857600000001
2009-10-30,-0.09888608
2009-11-02,-0.00995088000000012
2009-11-03,0
2009-11-04,0.01305374
2009-11-05,0.0419119400000001
2009-11-06,0.0287959
2009-11-09,0
2009-11-10,0
2009-11-11,0
2009-11-12,0
2009-11-13,0
2009-11-16,0
2009-11-17,0
2009-11-18,0
2009-11-19,0
2009-11-20,0.01808512
2009-11-23,0.0467396800000001
2009-11-24,0.00723280000000005
2009-11-25,0.01209584
2009-11-27,0
2009-11-30,0
2009-12-01,0.0375637100000001
2009-12-02,0.00996080999999994
2009-12-03,-0.0199716
2009-12-04,0.02143241
2009-12-07,0.00377706000000006
2009-12-08,-0.0246632600000001
2009-12-09,0.00715683000000007
2009-12-10,0.0145061
2009-12-11,0
2009-12-14,0
2009-12-15,0
2009-12-16,0.0435868199999999
2009-12-17,-0.0130341599999999
2009-12-18,0
2009-12-21,0
2009-12-22,0
2009-12-23,0
2009-12-24,0
2009-12-28,0
2009-12-29,0
2009-12-30,0
2009-12-31,0
2010-01-04,0
2010-01-05,0.01950963
2010-01-06,0.03474891
2010-01-07,0.01573299
2010-01-08,0.0239351699999999
2010-01-11,0.0133371
2010-01-12,0
2010-01-13,0
2010-01-14,0
2010-01-15,0
2010-01-19,0
2010-01-20,0
2010-01-21,-0.05820175
2010-01-22,-0.0923225
2010-01-25,0.01708225
2010-01-26,-0.0107235
2010-01-27,0.03455275
2010-01-28,-0.01080575
2010-01-29,-0.02653725
2010-02-01,0.063886
2010-02-02,0.0403045
2010-02-03,0
2010-02-04,0
2010-02-05,0
2010-02-08,0
2010-02-09,-0.0229454
2010-02-10,0
2010-02-11,0.0256974899999999
2010-02-12,0.0017115
2010-02-16,0.05078913
2010-02-17,0
2010-02-18,0
2010-02-19,0
2010-02-22,0
2010-02-23,0
2010-02-24,0
2010-02-25,0
2010-02-26,0
2010-03-01,0.0189592
2010-03-02,0.00997230000000005
2010-03-03,0.00890058000000007
2010-03-04,0.00243047999999998
2010-03-05,0.04213352
2010-03-08,0.01295996
2010-03-09,0
2010-03-10,0
2010-03-11,-0.00761597999999998
2010-03-12,0.00779809999999998
2010-03-15,-0.000938149999999907
2010-03-16,0.02804097
2010-03-17,0.0369256999999998
2010-03-18,0.0137999400000001
2010-03-19,-0.01776337
2010-03-22,0.0122820800000001
2010-03-23,0.0193525699999999
2010-03-24,0
