,BM, MACD ,SAR,ADX,RSI,Stoch,CCI,Program_Nbuy,FI_Nbuy,VIX_Avg,VKOSPI_Avg
2006-10-30 9:00,-0.0125,-0.0125,-0.0125,-0.0125,0.0125,0.0125,0.0125,0.0125,-0.0125,-0.0125,-0.0125
2006-10-31 9:00,0.006388889,0.006388889,0.006388889,-0.006388889,-0.006388889,-0.006388889,-0.006388889,0.006388889,0.006388889,0.006388889,0.006388889
2006-11-01 9:00,0.009722222,-0.009722222,0.009722222,-0.009722222,-0.009722222,-0.009722222,-0.009722222,-0.009722222,0.009722222,0.009722222,0.009722222
2006-11-02 9:00,0.001944444,-0.001944444,0.001944444,-0.001944444,-0.001944444,-0.001944444,-0.001944444,-0.001944444,0.001944444,0.001944444,0.001944444
2006-11-03 9:00,0.000277778,0.000277778,0.000277778,-0.000277778,-0.000277778,-0.000277778,-0.000277778,-0.000277778,0.000277778,0.000277778,0.000277778
2006-11-06 9:00,-0.002222222,-0.002222222,-0.002222222,-0.002222222,0.002222222,0.002222222,0.002222222,0.002222222,0.002222222,-0.002222222,-0.002222222
2006-11-07 9:00,0.006944444,0.006944444,0.006944444,0.006944444,-0.006944444,-0.006944444,-0.006944444,0.006944444,-0.006944444,0.006944444,0.006944444
2006-11-08 9:00,-0.007777778,-0.007777778,0.007777778,0.007777778,0.007777778,0.007777778,0.007777778,-0.007777778,0.007777778,-0.007777778,-0.007777778
2006-11-09 9:00,0.0125,0.0125,0.0125,-0.0125,-0.0125,-0.0125,-0.0125,0.0125,-0.0125,0.0125,0.0125
2006-11-10 9:00,-0.000833333,-0.000833333,0.000833333,0.000833333,0.000833333,0.000833333,0.000833333,-0.000833333,0.000833333,-0.000833333,-0.000833333
2006-11-13 9:00,0.001388889,0.001388889,0.001388889,-0.001388889,-0.001388889,-0.001388889,-0.001388889,0.001388889,-0.001388889,0.001388889,0.001388889
2006-11-14 9:00,0.005,0.005,0.005,-0.005,-0.005,-0.005,-0.005,0.005,-0.005,0.005,0.005
2006-11-15 9:00,0.002777778,0.002777778,0.002777778,-0.002777778,-0.002777778,-0.002777778,-0.002777778,0.002777778,-0.002777778,0.002777778,0.002777778
